Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Military expenditure (current USD),MS.MIL.XPND.CD,East Asia & Pacific,EAS,420366181123.069
Military expenditure (current USD),MS.MIL.XPND.CD,East Asia & Pacific (excluding high income),EAP,279802223817.985
Military expenditure (current USD),MS.MIL.XPND.CD,East Asia & Pacific (IDA & IBRD countries),TEA,279802223817.985
Military expenditure (current USD),MS.MIL.XPND.CD,Euro area,EMU,198437051986.44
Military expenditure (current USD),MS.MIL.XPND.CD,Europe & Central Asia,ECS,384547280027.087
Military expenditure (current USD),MS.MIL.XPND.CD,Europe & Central Asia (excluding high income),ECA,97497803031.086
Military expenditure (current USD),MS.MIL.XPND.CD,Europe & Central Asia (IDA & IBRD countries),TEC,109983481687.022
Military expenditure (current USD),MS.MIL.XPND.CD,European Union,EUU,280960105640.602
Military expenditure (current USD),MS.MIL.XPND.CD,Fragile and conflict affected situations,FCS,15352665891.5045
Military expenditure (current USD),MS.MIL.XPND.CD,Heavily indebted poor countries (HIPC),HPC,9009353603.90884
Military expenditure (current USD),MS.MIL.XPND.CD,High income,HIC,1203937145058.72
Military expenditure (current USD),MS.MIL.XPND.CD,IBRD only,IBD,567071346605.799
Military expenditure (current USD),MS.MIL.XPND.CD,IDA & IBRD total,IBT,597830424480.877
Military expenditure (current USD),MS.MIL.XPND.CD,IDA blend,IDB,15928906418.0987
Military expenditure (current USD),MS.MIL.XPND.CD,IDA only,IDX,14830171456.9791
Military expenditure (current USD),MS.MIL.XPND.CD,IDA total,IDA,30759077875.0777
Military expenditure (current USD),MS.MIL.XPND.CD,Late-demographic dividend,LTE,422332287728.984
Military expenditure (current USD),MS.MIL.XPND.CD,Latin America & Caribbean,LCN,64183844797.5349
Military expenditure (current USD),MS.MIL.XPND.CD,Latin America & Caribbean (excluding high income),LAC,57275656953.3346
Military expenditure (current USD),MS.MIL.XPND.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,64183844797.5349
Military expenditure (current USD),MS.MIL.XPND.CD,Least developed countries: UN classification,LDC,15271776784.9681
Military expenditure (current USD),MS.MIL.XPND.CD,Low & middle income,LMY,578413734698.197
Military expenditure (current USD),MS.MIL.XPND.CD,Low income,LIC,4816432269.705
Military expenditure (current USD),MS.MIL.XPND.CD,Lower middle income,LMC,124346311554.92
Military expenditure (current USD),MS.MIL.XPND.CD,Middle East & North Africa,MEA,140454066992.968
Military expenditure (current USD),MS.MIL.XPND.CD,Middle East & North Africa (excluding high income),MNA,41480239074.0565
Military expenditure (current USD),MS.MIL.XPND.CD,Middle East & North Africa (IDA & IBRD countries),TMN,41480239074.0565
Military expenditure (current USD),MS.MIL.XPND.CD,Middle income,MIC,573597302428.492
Military expenditure (current USD),MS.MIL.XPND.CD,North America,NAC,670418871711.983
Military expenditure (current USD),MS.MIL.XPND.CD,Not classified,INX,..
Military expenditure (current USD),MS.MIL.XPND.CD,OECD members,OED,1121911771844.08
Military expenditure (current USD),MS.MIL.XPND.CD,Other small states,OSS,4366787606.42418
Military expenditure (current USD),MS.MIL.XPND.CD,Pacific island small states,PSS,..
Military expenditure (current USD),MS.MIL.XPND.CD,Post-demographic dividend,PST,1078058822569.47
Military expenditure (current USD),MS.MIL.XPND.CD,Pre-demographic dividend,PRE,18526652902.7568
Military expenditure (current USD),MS.MIL.XPND.CD,Small states,SST,4875197473.81156
Military expenditure (current USD),MS.MIL.XPND.CD,South Asia,SAS,84058551331.1915
Military expenditure (current USD),MS.MIL.XPND.CD,South Asia (IDA & IBRD),TSA,84058551331.1915
Military expenditure (current USD),MS.MIL.XPND.CD,Sub-Saharan Africa,SSF,18322083773.0874
Military expenditure (current USD),MS.MIL.XPND.CD,Sub-Saharan Africa (excluding high income),SSA,18299260490.5432
Military expenditure (current USD),MS.MIL.XPND.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,18322083773.0874
Military expenditure (current USD),MS.MIL.XPND.CD,Upper middle income,UMC,449250990873.571
Military expenditure (current USD),MS.MIL.XPND.CD,World,WLD,1782350879756.92
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/20/2019,,,,
